iter	Passed	Remaining
0	313	312774
1	316	157785
2	319	106038
3	321	80165
4	325	64741
5	328	54415
6	331	46978
7	333	41409
8	336	37022
9	338	33512
10	340	30656
11	343	28280
12	346	26296
13	349	24581
14	351	23088
15	354	21785
16	357	20654
17	359	19627
18	362	18725
19	364	17881
20	367	17128
21	370	16450
22	373	15853
23	376	15321
24	379	14814
25	383	14362
26	385	13893
27	387	13469
28	390	13077
29	392	12698
30	394	12335
31	396	11999
32	398	11679
33	400	11364
34	401	11071
35	403	10797
36	405	10541
37	406	10292
38	407	10050
39	409	9821
40	410	9603
41	411	9394
42	413	9193
43	414	9000
44	415	8816
45	416	8639
46	417	8469
47	419	8316
48	420	8160
49	421	8008
50	422	7864
51	423	7722
52	424	7585
53	425	7452
54	426	7324
55	427	7200
56	428	7083
57	429	6970
58	430	6858
59	430	6749
60	431	6642
61	432	6539
62	433	6445
63	434	6351
64	435	6260
65	435	6169
66	436	6083
67	437	6001
68	438	5919
69	439	5840
70	440	5761
71	441	5685
72	441	5611
73	442	5539
74	443	5469
75	444	5401
76	445	5335
77	445	5270
78	446	5207
79	447	5147
80	448	5090
81	449	5034
82	450	4972
83	450	4917
84	451	4862
85	452	4809
86	453	4757
87	454	4706
88	454	4656
89	455	4607
90	456	4559
91	457	4512
92	458	4467
93	458	4422
94	459	4379
95	460	4336
96	461	4294
97	462	4252
98	463	4216
99	464	4177
100	465	4140
101	466	4103
102	466	4065
103	467	4028
104	468	3993
105	469	3957
106	470	3924
107	471	3890
108	471	3856
109	472	3823
110	473	3791
111	474	3759
112	474	3727
113	475	3696
114	476	3666
115	477	3639
116	478	3611
117	479	3584
118	480	3556
119	481	3528
120	482	3502
121	482	3474
122	483	3447
123	484	3421
124	485	3395
125	485	3369
126	486	3343
127	487	3318
128	487	3294
129	488	3270
130	489	3246
131	490	3223
132	490	3200
133	491	3177
134	493	3159
135	494	3141
136	495	3120
137	496	3099
138	497	3079
139	498	3059
140	499	3040
141	499	3018
142	500	2999
143	501	2979
144	502	2960
145	502	2941
146	503	2922
147	504	2903
148	505	2884
149	505	2866
150	506	2849
151	507	2833
152	508	2817
153	509	2800
154	510	2782
155	511	2766
156	512	2749
157	512	2732
158	513	2716
159	514	2700
160	514	2683
161	515	2667
162	516	2651
163	517	2635
164	517	2620
165	518	2606
166	519	2591
167	520	2577
168	521	2563
169	522	2549
170	523	2536
171	524	2522
172	524	2508
173	525	2495
174	526	2481
175	527	2467
176	527	2454
177	528	2441
178	529	2428
179	530	2415
180	531	2403
181	531	2390
182	532	2377
183	533	2365
184	534	2354
185	535	2342
186	536	2331
187	537	2320
188	538	2309
189	539	2299
190	540	2287
191	541	2276
192	541	2266
193	542	2255
194	543	2245
195	544	2234
196	545	2223
197	546	2213
198	547	2203
199	548	2194
200	549	2184
201	550	2174
202	551	2164
203	553	2157
204	554	2149
205	555	2140
